perbank.abchina.com,443,中国农业银行
ebsnew.boc.cn,443,中国银行
www.95559.com.cn,443,交通银行 
i.bank.ecitic.com,443,中信银行 
www.cebbank.com,443,光大银行
ibsbjstar.ccb.com.cn,443,中国建设银行
sbank.hxb.com.cn,443,华夏银行
mybank.icbc.com.cn,443,中国工商银行
ibank.bankofdl.com,443,大连银行
ebank.bankofbeijing.com.cn,443,北京银行
ebank.cbhb.com.cn,443,渤海银行
newperson.shengjingbank.com.cn,16443,盛京银行
netbank.jlbank.com.cn,443,吉林银行
ibank.hrbb.com.cn,443,哈尔滨银行
personalbank.cib.com.cn,443,兴业银行
ebanks.cgbchina.com.cn,443,广发银行
e.nbcb.com.cn,443,宁波银行
ebank.spdb.com.cn,443,浦发银行
ebank.zjtlcb.com,443,浙江泰隆商业银行
pbsz.ebank.cmbchina.com,443,招商银行
nper.cmbc.com.cn,443,中国民生银行
perbank.czbank.com,443,浙商银行
bank.pingan.com.cn,443,平安银行
ebanks.bankofshanghai.com,443,上海银行
ebank.tzbank.com,443,台州银行
ebank.taccb.com.cn,443,泰安银行
www.webank.com,443,微众银行
internet.ocbc.com,443,OCBC Bank
internet-banking.dbs.com.sg,443,DBS Bank
pib.uob.com.sg,443,United Overseas Bank
www.maybank2u.com.my,443,Maybank
ibanking.bangkokbank.com,443,Bangkok Bank
indusnet.indusind.com,443,Indusind Bank
